CountryName,AfricanRegion,AfricanRegion2
Angola,Central,Central
Benin,Western,Western-Coastal
Burkina Faso,Western,Western-Sahelian
Burundi,Eastern,Eastern
Cameroon,Central,Central
Central African Republic,Central,Central
Chad,Central,Central
Comoros,Eastern,Eastern
Congo,Central,Central
Congo Democratic Republic,Central,Central
Cote d'Ivoire,Western,Western-Coastal
Eritrea,Eastern,Eastern
Eswatini,Southern,Southern
Ethiopia,Eastern,Eastern
Gabon,Central,Central
Gambia,Western,Western-Sahelian
Ghana,Western,Western-Coastal
Guinea,Western,Western-Sahelian
Guinea-Bissau,Western,Western-Coastal
Kenya,Eastern,Eastern
Lesotho,Southern,Southern
Liberia,Western,Western-Coastal
Madagascar,Eastern,Eastern
Malawi,Eastern,Eastern
Mali,Western,Western-Sahelian
Mauritania,Western,Western-Sahelian
Mozambique,Eastern,Eastern
Namibia,Southern,Southern
Niger,Western,Western-Sahelian
Nigeria,Western,Western-Sahelian
Rwanda,Central,Central
Sao Tome and Principe,Central,Central
Senegal,Western,Western-Sahelian
Sierra Leone,Western,Western-Coastal
Somalia,Eastern,Eastern
South Africa,Southern,Southern
South Sudan,Eastern,Eastern
Sudan,Eastern,Eastern
Tanzania,Eastern,Eastern
Togo,Western,Western-Coastal
Uganda,Eastern,Eastern
Zambia,Eastern,Eastern
Zimbabwe,Southern,Southern
CotedIvoire,Western,Western-Coastal
GuineaBissau,Western,Western-Coastal
Kenya-BungomaCounty,Eastern,Eastern
Kenya-KakamegaCounty,Eastern,Eastern
Kenya-NyanzaProvince,Eastern,Eastern
Kenya-TurkanaCounty,Eastern,Eastern
MadagascarSouth,Eastern,Eastern
SaoTomeandPrincipe,Central,Central
SenegalDakar,Western,Western-Sahelian
SierraLeone,Western,Western-Coastal
SomaliaNortheastZone,Eastern,Eastern
SomaliaSomaliland,Eastern,Eastern
SouthSudan,Eastern,Eastern
Swaziland,Southern,Southern
